name,url,img_url,price,tokens
"Solgar Herbal Female Complex 솔가 밀크시슬 황기 함유 복합 허브 50정 1정/1일. 여성용 Non-GMO Vegan Gluten Free, 1병",https://www.coupang.com/vp/products/5049443059?itemId=6808249532&vendorItemId=70407646338,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/188f/95913162a78eea212a9b279a5b07facd737e4d6fe23e276bee27d3ac82ad.jpg,42470,솔 가 밀크 시슬 황기 함유 복합 허브 정정 일 여성 용병
"쏘두위 비건 오일풀링 치약, 100g, 3개",https://www.coupang.com/vp/products/2150031101?itemId=3651245114&vendorItemId=71636736606,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/23/10/2/973d1b28-5bed-4f4d-9024-f410a5783ed8.jpg,23270,쏘 두 위 비건 오 일 풀링 치약 
"플리프 시카 알로에 쿨링 거품형 비건 남성청결제, 1개, 150ml",https://www.coupang.com/vp/products/5696271875?itemId=9452467010&vendorItemId=76737347506,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10240130453794854-4d619068-e24a-4ba1-8fdf-8bdbe10058eb.jpg,13490,플리 프시 카알 로 에 쿨링 거품 형 비건 남성 청 결제 
"겟츠 비건 국내산 100% 맥주효모 개별포장 30포, 90g, 4개",https://www.coupang.com/vp/products/5643066236?itemId=7885402746&vendorItemId=79300340871,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a45c/73e86277fac26d158842684149dd39f55dd123229ba335c6a2ba1496f9f7.jpg,55990,겟 츠비 건국 내 산맥 주 효모  별 포장 포
"에이플비 리얼 비건 수분크림, 1개, 70ml",https://www.coupang.com/vp/products/5079515122?itemId=6889398140&vendorItemId=74181937714,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1904426939382620-07078303-8d70-405b-a0af-9eb9798568f0.jpg,23900,에이 플 비리 얼 비건 수분크림 
프리미엄 비타민 B12 vitamin 채식주의자 비건 비타민제 영양제,https://www.coupang.com/vp/products/4772016382?itemId=6092207610&vendorItemId=73388612701,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,26700,프리미엄 비타민 채식주의자 비건 비타민 제 영 양제
"비건픽 액상세제 시그니처향 본품, 2개, 1L",https://www.coupang.com/vp/products/5391692805?itemId=8043341668&vendorItemId=75331952827,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,27900,비건 픽액 상세 제시 그 니 처향 본 품 
"호두죽 곡견채 영양컵죽, 25g, 12개",https://www.coupang.com/vp/products/2016310775?itemId=3429831523&vendorItemId=71416352382,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,31680,호두 죽곡견채 영양 컵죽 
"솔가 비오틴 10 000mcg 베지터블 캡슐 글루텐 프리 비건, 120개입, 2개",https://www.coupang.com/vp/products/2074155?itemId=11287038146&vendorItemId=78563799760,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,36100,솔 가 비오틴 베지터블 캡슐 글루텐 프리 비건  
"트웰브리틀 비건레더 스트롤러 클립 2.0, BLACK, 2개",https://www.coupang.com/vp/products/4320897079?itemId=7701648158&vendorItemId=74991899739,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,22000,트웰 브리틀 비건 레더 스트 롤러 클립 
